mode,n_tasks,runs,n_agents,tts_mean_s,tts_median_s,tts_ci95_s,overhead_p50_median_ms,overhead_p95_median_ms,cpu_avg_pct,gpu_avg_pct,recovery_time_mean_s,failed_tasks_total
baseline,10,5,1.0,1.226402859998052,0.8852840999898035,0.669661294153231,0.002,0.003,24.948,0.0,0.0,0
baseline,20,5,1.0,1.834828419997939,1.8272739999956684,0.025273626864313656,0.002,0.0030500000000000006,25.1345,0.0,0.0,0
baseline,50,5,1.0,4.621937880004407,4.62904339999659,0.01875357549462122,0.003,0.004,25.4828,0.0,0.0,0
baseline,100,5,1.0,9.306120559998089,9.307526000004145,0.010429555168643865,0.003,0.004,24.775,0.0,0.0,0
baseline,200,5,1.0,18.791219120001188,18.795939000003273,0.02278926839454374,0.003,0.005,25.551675,0.0,0.00047447359999999993,0
baseline,500,5,1.0,47.38882640000084,47.48513330001151,0.25921983572550433,0.003,0.005,26.336989999999997,0.0,0.00018935928,0
baseline,1000,5,1.0,94.6404928199976,94.68609239999205,0.12318707071723906,0.003,0.005,29.89971,0.0,9.455232000000001e-05,0
ray,10,5,4.0,0.36196288000210186,0.36143380000430625,0.012993099431966243,188.781,283.17725,49.580000000000005,0.0,0.0,0
ray,20,5,4.0,0.6923959200008539,0.5745089999982156,0.2570218500751653,294.2555,498.5792,51.222500000000004,0.0,0.0,0
ray,50,5,4.0,1.5601228799991076,1.298487699998077,0.319572968240482,660.6705,1141.05005,50.8424,0.0,0.0,0
ray,100,5,4.0,3.0917601599998306,3.087265699999989,0.007454635424153217,1881.289,2916.283,46.7303,0.0,0.0,0
ray,200,5,4.0,5.473673760000383,5.466868199990131,0.02637194774539774,2993.0074999999997,5125.6481,45.735675,0.0,0.023548853399999996,0
ray,500,5,4.0,12.545210259995656,12.520846699990216,0.04344006408592145,6556.461499999999,11830.0087,50.843689999999995,0.0,0.023578512000000003,0
ray,1000,5,4.0,26.18148966000008,25.91803109999455,0.5827165810925035,12787.306499999999,24519.4859,58.16586500000001,0.0,0.02542739612,0
