run_id,mode,n_tasks,n_agents,repeat_id,submit_min,end_max,overhead_p50_ms,overhead_p95_ms,cpu_avg_pct,gpu_avg_pct,recovery_time_mean_s,failed_tasks,tts_s
baseline_A1_T10_R1_1771580021_fa6174,baseline,10,1,1,5769.913507517,5769.947582102,0.002,0.003,9.165000000000001,0.0,0.0,0,0.03407458499987115
baseline_A1_T10_R2_1771580023_5b437c,baseline,10,1,2,5772.744303468,5772.792097784,0.002,0.003,17.5,0.0,0.0,0,0.047794316000363324
baseline_A1_T10_R3_1771580025_6de01b,baseline,10,1,3,5774.59892163,5774.63049058,0.002,0.002549999999999999,11.665000000000001,0.0,0.0,0,0.03156894999938231
baseline_A1_T10_R4_1771580028_2a8c39,baseline,10,1,4,5777.329585291,5777.377813688,0.003,0.004,15.0,0.0,0.0,0,0.048228397000457335
baseline_A1_T10_R5_1771580031_c0ac0e,baseline,10,1,5,5779.993747731,5780.028610078,0.003,0.003549999999999999,10.0,0.0,0.0,0,0.03486234699994384
baseline_A1_T20_R1_1771580033_bf9eda,baseline,20,1,1,5782.612586879,5782.699954198,0.003,0.0030500000000000006,12.857499999999998,0.0,0.0,0,0.08736731899989536
baseline_A1_T20_R2_1771580035_14c00e,baseline,20,1,2,5784.749338325,5784.856200622,0.003,0.004200000000000003,18.215,0.0,0.0,0,0.10686229699967953
baseline_A1_T20_R3_1771580038_1aad20,baseline,20,1,3,5787.574700441,5787.686018225,0.003,0.004050000000000001,13.032499999999999,0.0,0.0,0,0.1113177840006756
baseline_A1_T20_R4_1771580041_a00574,baseline,20,1,4,5790.221282315,5790.295397625,0.002,0.003,11.875,0.0,0.0,0,0.07411530999979732
baseline_A1_T20_R5_1771580043_ad7ad6,baseline,20,1,5,5792.074742414,5792.143623966,0.002,0.003,7.9174999999999995,0.0,0.0,0,0.06888155199976609
baseline_A1_T50_R1_1771580045_da3af3,baseline,50,1,1,5794.496334876,5794.691778655,0.002,0.003,13.167,0.0,0.0,0,0.19544377900001564
